contig_id	Chr	E_coli_1	E_coli_2	Gene/RNA

husec41_c466	chr3	0	0	gene

husec41_c286	chr3	0	0	gene

husec41_c131	chr3	0	0	gene

husec41_c34	chr3	0	0	gene

husec41_c618	chr3	0	0	gene

husec41_c1341	chr3	0	0	gene

husec41_c286	chr3	0	0	gene

husec41_c131	chr3	0	0	gene

husec41_c131	chr3	0	0	gene

husec41_c613	chr3	0	0	gene

husec41_c1075	chr3	0	0	gene

husec41_c347	chr3	0	0	gene

husec41_c251	chr3	0	0	gene

husec41_c351	chr3	0	0	gene

husec41_c65	chr3	0	0	gene

husec41_c735	chr3	0	0	gene

husec41_c1850	chr3	0	0	gene

husec41_c957	chr3	0	0	gene

husec41_c198	chr3	0	0	gene

husec41_c354	chr3	0	0	gene

husec41_c157	chr3	0	0	gene

husec41_c676	chr3	0	0	gene

husec41_c515	chr3	0	0	gene

husec41_c1309	chr3	0	0	gene

husec41_c152	chr3	0	0	gene

husec41_c557	chr3	0	0	gene

husec41_c235	chr3	0	0	gene

husec41_c68	chr3	0	0	gene

husec41_c1644	chr3	0	0	gene

husec41_c1064	chr3	0	0	gene

husec41_c235	chr3	0	0	gene

husec41_c1132	chr3	0	0	gene

husec41_c1827	chr3	0	0	gene

husec41_c1703	chr3	0	0	gene

husec41_c2211	chr3	0	0	gene

husec41_c375	chr3	0	0	gene

husec41_c1221	chr3	0	0	gene

husec41_c177	chr3	0	0	gene

husec41_c102	chr3	0	0	gene

husec41_c1190	chr3	0	0	gene

husec41_c230	chr3	0	0	gene

husec41_c214	chr3	0	0	gene

husec41_c364	chr3	0	0	gene

husec41_c475	chr3	0	0	gene

husec41_c214	chr3	0	0	gene

husec41_c364	chr3	0	0	gene

husec41_c475	chr3	0	0	gene

husec41_c1593	chr3	0	0	gene

husec41_c1693	chr3	0	0	gene

husec41_c977	chr3	0	0	gene

husec41_c482	chr3	0	0	gene

husec41_c1536	chr3	0	0	gene

husec41_c398	chr3	0	0	gene

husec41_c126	chr3	0	0	gene

husec41_c701	chr3	0	0	gene

husec41_c755	chr3	0	0	gene

husec41_c296	chr3	0	0	gene

husec41_c296	chr3	0	0	gene

husec41_c1149	chr3	0	0	gene

husec41_c968	chr3	0	0	gene

husec41_c661	chr3	0	0	gene

husec41_c738	chr3	0	0	gene

husec41_c227	chr3	0	0	gene

husec41_c1222	chr3	0	0	gene

husec41_c1847	chr3	0	0	gene

husec41_c635	chr3	0	0	gene

husec41_c901	chr3	0	0	gene

husec41_c742	chr3	0	0	gene

husec41_c907	chr3	0	0	gene

hus	chr3	0	0	

